Sample	Project	Status	Disease	V_region	Platform	Region
SRR5467821	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467822	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467825	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467826	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467833	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467835	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467836	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467839	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467842	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467845	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467851	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467854	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467856	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467859	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467860	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467867	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467869	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467870	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467874	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467883	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467886	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467891	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467892	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467893	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467894	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467896	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467901	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467902	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467903	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467906	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467910	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467911	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467912	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467913	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467914	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467917	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467918	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467919	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467922	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467923	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467925	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467926	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467933	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467934	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467935	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467936	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467938	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467939	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467947	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467949	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467950	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467951	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467954	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467955	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467956	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467960	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467961	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467963	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467964	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467966	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467968	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467969	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467971	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467973	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467982	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467983	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467984	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467989	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467990	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467991	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467992	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467993	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467994	SRP104798	disease	caries	v4	miseq	Plaque
SRR5467995	SRP104798	disease	caries	v4	miseq	Plaque
SRR5468000	SRP104798	disease	caries	v4	miseq	Plaque
SRR5468004	SRP104798	disease	caries	v4	miseq	Plaque
SRR5468005	SRP104798	disease	caries	v4	miseq	Plaque
SRR5468009	SRP104798	disease	caries	v4	miseq	Plaque
SRR5468010	SRP104798	disease	caries	v4	miseq	Plaque
SRR5468012	SRP104798	disease	caries	v4	miseq	Plaque
SRR5468015	SRP104798	disease	caries	v4	miseq	Plaque
SRR5468018	SRP104798	disease	caries	v4	miseq	Plaque
SRR5468019	SRP104798	disease	caries	v4	miseq	Plaque
SRR5468028	SRP104798	disease	caries	v4	miseq	Plaque
SRR5468029	SRP104798	disease	caries	v4	miseq	Plaque
SRR5468030	SRP104798	disease	caries	v4	miseq	Plaque
SRR5468031	SRP104798	disease	caries	v4	miseq	Plaque
SRR5468032	SRP104798	disease	caries	v4	miseq	Plaque
SRR5468036	SRP104798	disease	caries	v4	miseq	Plaque
SRR5468037	SRP104798	disease	caries	v4	miseq	Plaque
SRR5468038	SRP104798	disease	caries	v4	miseq	Plaque
SRR5468039	SRP104798	disease	caries	v4	miseq	Plaque
SRR5468040	SRP104798	disease	caries	v4	miseq	Plaque
SRR5468043	SRP104798	disease	caries	v4	miseq	Plaque
SRR5468044	SRP104798	disease	caries	v4	miseq	Plaque
SRR5468045	SRP104798	disease	caries	v4	miseq	Plaque
SRR5468046	SRP104798	disease	caries	v4	miseq	Plaque
SRR5468047	SRP104798	disease	caries	v4	miseq	Plaque
SRR5468050	SRP104798	disease	caries	v4	miseq	Plaque
SRR5468054	SRP104798	disease	caries	v4	miseq	Plaque
SRR5468062	SRP104798	disease	caries	v4	miseq	Plaque
SRR1922820	SRP056328	healthy	health	v1_v2	454	Plaque
SRR1922842	SRP056328	healthy	health	v1_v2	454	Plaque
SRR1922843	SRP056328	healthy	health	v1_v2	454	Plaque
SRR1922844	SRP056328	healthy	health	v1_v2	454	Plaque
SRR1922845	SRP056328	healthy	health	v1_v2	454	Plaque
SRR1922846	SRP056328	healthy	health	v1_v2	454	Plaque
SRR1922847	SRP056328	healthy	health	v1_v2	454	Plaque
SRR387669	SRP009299	healthy	health	v4	454	Subg
SRR387670	SRP009299	healthy	health	v4	454	Subg
SRR387937	SRP009299	healthy	health	v4	454	Subg
SRR387938	SRP009299	healthy	health	v4	454	Subg
SRR387939	SRP009299	healthy	health	v4	454	Subg
SRR387940	SRP009299	healthy	health	v4	454	Subg
SRR387941	SRP009299	healthy	health	v4	454	Subg
SRR387942	SRP009299	healthy	health	v4	454	Subg
SRR387943	SRP009299	healthy	health	v4	454	Subg
SRR387944	SRP009299	healthy	health	v4	454	Subg
SRR387945	SRP009299	healthy	health	v4	454	Subg
SRR387946	SRP009299	healthy	health	v4	454	Subg
SRR387947	SRP009299	healthy	health	v4	454	Subg
SRR387948	SRP009299	healthy	health	v4	454	Subg
SRR387949	SRP009299	healthy	health	v4	454	Subg
SRR387950	SRP009299	healthy	health	v4	454	Subg
SRR387951	SRP009299	healthy	health	v4	454	Subg
SRR387952	SRP009299	healthy	health	v4	454	Subg
SRR387953	SRP009299	healthy	health	v4	454	Subg
SRR387954	SRP009299	healthy	health	v4	454	Subg
SRR387955	SRP009299	healthy	health	v4	454	Subg
SRR387956	SRP009299	healthy	health	v4	454	Subg
SRR387957	SRP009299	healthy	health	v4	454	Subg
SRR387958	SRP009299	healthy	health	v4	454	Subg
SRR387959	SRP009299	healthy	health	v4	454	Subg
SRR387960	SRP009299	healthy	health	v4	454	Subg
SRR387961	SRP009299	healthy	health	v4	454	Subg
SRR387962	SRP009299	healthy	health	v4	454	Subg
SRR387963	SRP009299	healthy	health	v4	454	Subg
SRR387964	SRP009299	healthy	health	v4	454	Subg
SRR387965	SRP009299	healthy	health	v4	454	Subg
SRR387966	SRP009299	healthy	health	v4	454	Subg
SRR387967	SRP009299	healthy	health	v4	454	Subg
SRR387968	SRP009299	healthy	health	v4	454	Subg
SRR387969	SRP009299	healthy	health	v4	454	Subg
SRR387970	SRP009299	healthy	health	v4	454	Subg
SRR387971	SRP009299	healthy	health	v4	454	Subg
SRR387972	SRP009299	healthy	health	v4	454	Subg
SRR387973	SRP009299	healthy	health	v4	454	Subg
SRR387974	SRP009299	healthy	health	v4	454	Subg
SRR387975	SRP009299	healthy	health	v4	454	Subg
SRR387976	SRP009299	healthy	health	v4	454	Subg
SRR387977	SRP009299	healthy	health	v4	454	Subg
SRR387978	SRP009299	healthy	health	v4	454	Subg
SRR387979	SRP009299	healthy	health	v4	454	Subg
SRR387980	SRP009299	healthy	health	v4	454	Subg
SRR387981	SRP009299	healthy	health	v4	454	Subg
SRR387982	SRP009299	healthy	health	v4	454	Subg
SRR387983	SRP009299	healthy	health	v4	454	Subg
SRR387984	SRP009299	healthy	health	v4	454	Subg
SRR387985	SRP009299	healthy	health	v4	454	Subg
SRR387986	SRP009299	healthy	health	v4	454	Subg
SRR387987	SRP009299	healthy	health	v4	454	Subg
SRR387988	SRP009299	healthy	health	v4	454	Subg
SRR387989	SRP009299	healthy	health	v4	454	Subg
SRR387990	SRP009299	healthy	health	v4	454	Subg
SRR387991	SRP009299	healthy	health	v4	454	Subg
SRR387992	SRP009299	healthy	health	v4	454	Subg
SRR387993	SRP009299	healthy	health	v4	454	Subg
SRR387994	SRP009299	healthy	health	v4	454	Subg
SRR387995	SRP009299	healthy	health	v4	454	Subg
SRR387996	SRP009299	disease	perid	v4	454	Subg
SRR387997	SRP009299	disease	perid	v4	454	Subg
SRR388000	SRP009299	disease	perid	v4	454	Subg
SRR388001	SRP009299	disease	perid	v4	454	Subg
SRR388004	SRP009299	disease	perid	v4	454	Subg
SRR388005	SRP009299	disease	perid	v4	454	Subg
SRR388008	SRP009299	disease	perid	v4	454	Subg
SRR388009	SRP009299	disease	perid	v4	454	Subg
SRR388012	SRP009299	disease	perid	v4	454	Subg
SRR388013	SRP009299	disease	perid	v4	454	Subg
SRR388016	SRP009299	disease	perid	v4	454	Subg
SRR388017	SRP009299	disease	perid	v4	454	Subg
SRR388020	SRP009299	disease	perid	v4	454	Subg
SRR388021	SRP009299	disease	perid	v4	454	Subg
SRR388024	SRP009299	disease	perid	v4	454	Subg
SRR388025	SRP009299	disease	perid	v4	454	Subg
SRR388028	SRP009299	disease	perid	v4	454	Subg
SRR388029	SRP009299	disease	perid	v4	454	Subg
SRR388032	SRP009299	disease	perid	v4	454	Subg
SRR388033	SRP009299	disease	perid	v4	454	Subg
SRR388036	SRP009299	disease	perid	v4	454	Subg
SRR388037	SRP009299	disease	perid	v4	454	Subg
SRR388040	SRP009299	disease	perid	v4	454	Subg
SRR388041	SRP009299	disease	perid	v4	454	Subg
SRR388044	SRP009299	disease	perid	v4	454	Subg
SRR388045	SRP009299	disease	perid	v4	454	Subg
SRR388048	SRP009299	disease	perid	v4	454	Subg
SRR388049	SRP009299	disease	perid	v4	454	Subg
SRR388052	SRP009299	disease	perid	v4	454	Subg
SRR388053	SRP009299	disease	perid	v4	454	Subg
SRR388056	SRP009299	disease	perid	v4	454	Subg
SRR388057	SRP009299	disease	perid	v4	454	Subg
SRR388060	SRP009299	disease	perid	v4	454	Subg
SRR388061	SRP009299	disease	perid	v4	454	Subg
SRR388064	SRP009299	disease	perid	v4	454	Subg
SRR388065	SRP009299	disease	perid	v4	454	Subg
SRR388068	SRP009299	disease	perid	v4	454	Subg
SRR388069	SRP009299	disease	perid	v4	454	Subg
SRR388072	SRP009299	disease	perid	v4	454	Subg
SRR388073	SRP009299	disease	perid	v4	454	Subg
SRR388076	SRP009299	disease	perid	v4	454	Subg
SRR388077	SRP009299	disease	perid	v4	454	Subg
SRR388081	SRP009299	disease	perid	v4	454	Subg
SRR388082	SRP009299	disease	perid	v4	454	Subg
SRR388085	SRP009299	disease	perid	v4	454	Subg
SRR388086	SRP009299	disease	perid	v4	454	Subg
SRR388089	SRP009299	disease	perid	v4	454	Subg
SRR388090	SRP009299	disease	perid	v4	454	Subg
SRR388093	SRP009299	disease	perid	v4	454	Subg
SRR388094	SRP009299	disease	perid	v4	454	Subg
SRR388097	SRP009299	disease	perid	v4	454	Subg
SRR388098	SRP009299	disease	perid	v4	454	Subg
SRR388101	SRP009299	disease	perid	v4	454	Subg
SRR388102	SRP009299	disease	perid	v4	454	Subg
SRR388105	SRP009299	disease	perid	v4	454	Subg
SRR388106	SRP009299	disease	perid	v4	454	Subg
SRR388109	SRP009299	disease	perid	v4	454	Subg
SRR388110	SRP009299	disease	perid	v4	454	Subg
SRR1060333	SRP034724	healthy	health	v1_v3	454	Supra
SRR1060334	SRP034724	healthy	health	v1_v3	454	Supra
SRR1060335	SRP034724	healthy	health	v1_v3	454	Supra
SRR1060336	SRP034724	healthy	health	v1_v3	454	Supra
SRR1060337	SRP034724	healthy	health	v1_v3	454	Supra
SRR1060338	SRP034724	healthy	health	v1_v3	454	Supra
SRR1060339	SRP034724	healthy	health	v1_v3	454	Supra
SRR1060340	SRP034724	healthy	health	v1_v3	454	Supra
SRR1060341	SRP034724	healthy	health	v1_v3	454	Supra
SRR1060342	SRP034724	healthy	health	v1_v3	454	Supra
SRR1060343	SRP034724	healthy	health	v1_v3	454	Supra
SRR1060344	SRP034724	healthy	health	v1_v3	454	Supra
SRR1060345	SRP034724	healthy	health	v1_v3	454	Supra
